image_id|answer_type|question|answer
COCO_train2014_000000412289.jpg|object_presence|ফটোখনত কিবা বাহন আছে নেকি ?|হয়
COCO_train2014_000000412289.jpg|object_presence|ছবিখনত কোনো জীৱ-জন্তু আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত কিবা চোফা আছে নেকি ?|হয়
COCO_train2014_000000412289.jpg|object_presence|ছবিখনত কিবৰ্ড আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_presence|ছবিখনত কিবা খাদ্য আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত কিবা বটল আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_recognition|ফটোখনত কি আচবাব আছে ?|শয্যা
COCO_train2014_000000222691.jpg|object_recognition|ছবিখনত কি ইলেক্ট্ৰনিক সঁজুলি দেখুওৱা হৈছে ?|দূৰৱৰ্তী
COCO_train2014_000000064360.jpg|object_recognition|ছবিখনত কি জন্তু দেখুওৱা হৈছে ?|হাতী
COCO_train2014_000000412289.jpg|object_recognition|ছবিখনত কি ইলেক্ট্ৰনিক সঁজুলি দেখুওৱা হৈছে ?|লেপটপ
COCO_train2014_000000222691.jpg|object_recognition|ফটোখনত কি জন্তু আছে ?|কুকুৰ
COCO_train2014_000000412289.jpg|object_recognition|ফটোখনত কি বাহন আছে ?|বাহন
COCO_train2014_000000035551.jpg|object_recognition|ছবিখনত কি বাহন আছে ?|ৰেলগাড়ী
COCO_train2014_000000222691.jpg|scene_recognition|এইটো কি কোঠা ?|চৰা-ঘৰ
COCO_train2014_000000523968.jpg|sport_recognition|ছবিখনত কি খেলৰ চিত্ৰ অংকন কৰা হৈছে  ?|স্কিইং
